1668812421.470930000	2462	-80	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	2883	UWS	ff:ff:ff:ff:ff:ff
1668812421.525968000	2462	-80	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	2884	UWS	ff:ff:ff:ff:ff:ff
1668812421.591103000	2437	-76	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	2885	UWS	ff:ff:ff:ff:ff:ff
1668812421.623958000	2462	-80	9c:da:3e:f0:dc:91	ff:ff:ff:ff:ff:ff	1108	UWS	ff:ff:ff:ff:ff:ff
1668812421.626829000	2462	-81	9c:da:3e:f0:dc:91	ff:ff:ff:ff:ff:ff	1109		ff:ff:ff:ff:ff:ff
1668812421.642230000	2437	-75	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	2886	UWS	ff:ff:ff:ff:ff:ff
1668812421.703879000	2412	-80	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	2887	UWS	ff:ff:ff:ff:ff:ff
1668812421.763216000	2462	-82	9c:da:3e:f0:dc:91	ff:ff:ff:ff:ff:ff	1110	UWS	ff:ff:ff:ff:ff:ff
1668812421.816809000	2412	-81	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1419	UWS	ff:ff:ff:ff:ff:ff
1668812421.836558000	2412	-80	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1420	UWS	ff:ff:ff:ff:ff:ff
1668812421.879031000	2412	-85	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1422	UWS	ff:ff:ff:ff:ff:ff
1668812421.953658000	2437	-74	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1425	UWS	ff:ff:ff:ff:ff:ff
1668812421.995682000	2437	-67	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1427	UWS	ff:ff:ff:ff:ff:ff
1668812422.061731000	2437	-65	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1430	UWS	ff:ff:ff:ff:ff:ff
1668812422.078182000	2462	-90	26:19:30:7b:44:86	ff:ff:ff:ff:ff:ff	1644		ff:ff:ff:ff:ff:ff
1668812422.103064000	2462	-90	26:19:30:7b:44:86	ff:ff:ff:ff:ff:ff	1645		ff:ff:ff:ff:ff:ff
1668812422.108963000	2437	-67	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1432	UWS	ff:ff:ff:ff:ff:ff
1668812422.225660000	2462	-70	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1437	UWS	ff:ff:ff:ff:ff:ff
1668812422.247623000	2462	-71	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1438	UWS	ff:ff:ff:ff:ff:ff
1668812422.263276000	2462	-78	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1439	UWS	ff:ff:ff:ff:ff:ff
1668812422.283445000	2462	-77	f6:0c:34:c0:97:4d	ff:ff:ff:ff:ff:ff	1440	UWS	ff:ff:ff:ff:ff:ff
1668812422.488268000	2437	-90	18:3e:ef:ce:d6:28	ff:ff:ff:ff:ff:ff	655	UWS	ff:ff:ff:ff:ff:ff
1668812422.711588000	2462	-92	18:3e:ef:ce:d6:28	ff:ff:ff:ff:ff:ff	664	UWS	ff:ff:ff:ff:ff:ff
1668812422.954188000	2437	-94	2a:9c:ad:2b:55:29	ff:ff:ff:ff:ff:ff	205		ff:ff:ff:ff:ff:ff
1668812423.103413000	2437	-94	0e:d6:8f:de:4a:ca	ff:ff:ff:ff:ff:ff	3844	UWS	ff:ff:ff:ff:ff:ff
1668812423.185031000	2412	-85	9c:da:3e:f0:dc:91	ff:ff:ff:ff:ff:ff	1122		ff:ff:ff:ff:ff:ff
1668812423.213189000	2437	-75	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	2889	UWS	ff:ff:ff:ff:ff:ff
1668812423.233694000	2437	-73	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	2890	UWS	ff:ff:ff:ff:ff:ff
1668812423.279568000	2462	-73	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	2892	UWS	ff:ff:ff:ff:ff:ff
1668812423.311565000	2437	-73	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	2893	UWS	ff:ff:ff:ff:ff:ff
1668812423.334918000	2437	-72	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	2894	UWS	ff:ff:ff:ff:ff:ff
1668812423.355285000	2412	-87	9c:da:3e:f0:dc:91	ff:ff:ff:ff:ff:ff	1123		ff:ff:ff:ff:ff:ff
