1668754809.826797000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1972		ff:ff:ff:ff:ff:ff
1668754809.826817000	2437	-30	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1972		ff:ff:ff:ff:ff:ff
1668754809.828718000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1973		ff:ff:ff:ff:ff:ff
1668754809.828738000	2437	-30	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1973		ff:ff:ff:ff:ff:ff
1668754809.891165000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1974		ff:ff:ff:ff:ff:ff
1668754809.893465000	2412	-85	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1975		ff:ff:ff:ff:ff:ff
1668754809.957645000	2462	-42	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1977		ff:ff:ff:ff:ff:ff
1668754810.019859000	2462	-33	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1978		ff:ff:ff:ff:ff:ff
1668754810.022012000	2462	-32	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1979		ff:ff:ff:ff:ff:ff
1668754810.084216000	2462	-30	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1980		ff:ff:ff:ff:ff:ff
1668754810.086490000	2462	-30	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1981		ff:ff:ff:ff:ff:ff
1668754811.954540000	2462	-90	e4:4e:2d:c5:7d:e2	ff:ff:ff:ff:1f:fb	975		e4:4e:2d:c5:7d:e2
1668754812.262267000	2462	-88	e4:4e:2d:c5:7d:e4	a2:63:58:7d:69:ff	3213		24:12:b1:a5:33:0c
1668754812.805351000	2462	-93	80:8a:bd:24:33:9b	ff:ff:ff:ff:ff:ff	2163		ff:ff:ff:ff:ff:ff
1668754814.207318000	2462	-88	e4:4e:2d:c5:7d:e2	dd:d4:19:ff:ff:ff	1151		e4:4e:2d:c5:7d:e2
1668754814.480456000	2412	-88	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3032		ff:ff:ff:ff:ff:ff
1668754814.803258000	2437	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3047		ff:ff:ff:ff:ff:ff
1668754814.805481000	2437	-86	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3048		ff:ff:ff:ff:ff:ff
1668754814.809034000	2437	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3049		ff:ff:ff:ff:ff:ff
1668754814.965736000	2462	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668754814.986497000	2462	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	2	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668754815.046633000	2412	-91	dc:21:5c:92:af:81	ff:ff:ff:ff:ff:ff	2019		ff:ff:ff:ff:ff:ff
1668754815.121915000	2462	-88	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3062		ff:ff:ff:ff:ff:ff
1668754818.385248000	2462	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668754819.332532000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1312		ff:ff:ff:ff:ff:ff
1668754819.332551000	2437	-61	b2:a7:30:0b:27:91	ff:ff:ff:ff:ff:ff	1312		ff:ff:ff:ff:ff:ff
1668754819.332567000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1312		ff:ff:ff:ff:ff:ff
1668754819.334982000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1313		ff:ff:ff:ff:ff:ff
1668754819.335002000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1313		ff:ff:ff:ff:ff:ff
1668754819.335018000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1313		ff:ff:ff:ff:ff:ff
1668754819.375761000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1314		ff:ff:ff:ff:ff:ff
1668754819.375780000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1314		ff:ff:ff:ff:ff:ff
1668754819.375796000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1314		ff:ff:ff:ff:ff:ff
1668754819.377876000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1315		ff:ff:ff:ff:ff:ff
1668754819.377896000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1315		ff:ff:ff:ff:ff:ff
1668754819.419856000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1316		ff:ff:ff:ff:ff:ff
1668754819.419876000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1316		ff:ff:ff:ff:ff:ff
1668754819.421951000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1317		ff:ff:ff:ff:ff:ff
1668754819.463813000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1318		ff:ff:ff:ff:ff:ff
1668754819.463833000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1318		ff:ff:ff:ff:ff:ff
1668754819.467714000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1319		ff:ff:ff:ff:ff:ff
1668754819.467734000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1319		ff:ff:ff:ff:ff:ff
1668754819.467748000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1319		ff:ff:ff:ff:ff:ff
1668754819.507763000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1320		ff:ff:ff:ff:ff:ff
1668754819.507783000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1320		ff:ff:ff:ff:ff:ff
1668754819.507799000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1320		ff:ff:ff:ff:ff:ff
1668754819.509904000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1321		ff:ff:ff:ff:ff:ff
1668754819.509923000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1321		ff:ff:ff:ff:ff:ff
1668754819.522506000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1322		ff:ff:ff:ff:ff:ff
1668754819.522525000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1322		ff:ff:ff:ff:ff:ff
1668754819.522541000	2462	-61	b2:87:66:09:27:91	df:ed:dd:fe:ff:ff	1322		ff:ff:ff:ff:ff:ff
1668754819.524935000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1323		ff:ff:ff:ff:ff:ff
1668754819.524955000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1323		ff:ff:ff:ff:ff:ff
