1668657623.146229000	2412	-89	dc:41:a9:5e:4d:0e	ff:ff:ff:ff:ff:ff	559	UWS	ff:ff:ff:ff:ff:ff
1668657623.361037000	2437	-77	dc:41:a9:5e:4d:0e	ff:ff:ff:ff:ff:ff	563	UWS	ff:ff:ff:ff:ff:ff
1668657623.421136000	2437	-76	dc:41:a9:5e:4d:0e	ff:ff:ff:ff:ff:ff	564	UWS	ff:ff:ff:ff:ff:ff
1668657623.465449000	2437	-80	dc:41:a9:5e:4d:0e	ff:ff:ff:ff:ff:ff	565	UWS	ff:ff:ff:ff:ff:ff
1668657623.559655000	2462	-83	dc:41:a9:5e:4d:0e	ff:ff:ff:ff:ff:ff	568	UWS	ff:ff:ff:ff:ff:ff
1668657623.700576000	2462	-82	dc:41:a9:5e:4d:0e	ff:ff:ff:ff:ff:ff	570	UWS	ff:ff:ff:ff:ff:ff
1668657623.763005000	2462	-82	dc:41:a9:5e:4d:0e	ff:ff:ff:ff:ff:ff	571	UWS	ff:ff:ff:ff:ff:ff
1668657624.387335000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13		ff:ff:ff:ff:ff:ff
1668657624.408224000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1668657626.287983000	2437	-81	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	158	UWS	ff:ff:ff:ff:ff:ff
1668657626.343686000	2437	-81	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	159	UWS	ff:ff:ff:ff:ff:ff
1668657626.404285000	2412	-80	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	160	UWS	ff:ff:ff:ff:ff:ff
1668657626.459470000	2412	-80	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	161	UWS	ff:ff:ff:ff:ff:ff
1668657626.520910000	2462	-79	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	162	UWS	ff:ff:ff:ff:ff:ff
1668657626.576192000	2462	-79	0e:60:86:36:52:dc	ff:ff:ff:ff:ff:ff	163	UWS	ff:ff:ff:ff:ff:ff
1668657628.414366000	2412	-90	8e:c1:ae:ba:b1:37	ff:ff:ff:ff:ff:ff	1942	UWS	ff:ff:ff:ff:ff:ff
1668657628.434216000	2412	-90	8e:c1:ae:ba:b1:37	ff:ff:ff:ff:ff:ff	1943	UWS	ff:ff:ff:ff:ff:ff
1668657628.802520000	2412	-86	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	3795	UWS	ff:ff:ff:ff:ff:ff
1668657628.820509000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1728		ff:ff:ff:ff:ff:ff
1668657628.820530000	2437	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1728		ff:ff:ff:ff:ff:ff
1668657628.820545000	2462	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1728		ff:ff:ff:ff:ff:ff
1668657628.822827000	2412	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1729		ff:ff:ff:ff:ff:ff
1668657628.822847000	2437	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1729		ff:ff:ff:ff:ff:ff
