1668654013.359717000	2437	-74	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2210		9f:c9:ff:ff:ff:ff
1668654013.359737000	2462	-42	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2210		ff:ff:ff:ff:ff:ff
1668654013.424285000	2462	-40	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2212		ff:ff:ff:ff:ff:ff
1668654013.426758000	2462	-40	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2213		ff:ff:ff:ff:ff:ff
1668654014.860267000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13		ff:ff:ff:ff:ff:ff
1668654014.881087000	2437	-89	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1668654018.175424000	2412	-87	7e:75:16:1c:02:2f	ff:ff:ff:ff:ff:ff	3773		ff:ff:ff:ff:ff:ff
1668654018.215608000	2412	-88	7e:75:16:1c:02:2f	ff:ff:ff:ff:ff:ff	3775		ff:ff:ff:ff:ff:ff
1668654018.603254000	2437	-85	7e:75:16:1c:02:2f	ff:ff:ff:ff:ff:ff	3794		ff:ff:ff:ff:ff:ff
1668654018.643502000	2437	-90	7e:75:16:1c:02:2f	ff:ff:ff:ff:ff:ff	3796		ff:ff:ff:ff:ff:ff
1668654018.983454000	2462	-78	7e:75:16:1c:02:2f	ff:ff:ff:ff:ff:ff	3810		ff:ff:ff:ff:ff:ff
1668654019.024955000	2462	-81	7e:75:16:1c:02:2f	ff:ff:ff:ff:ff:ff	3812		ff:ff:ff:ff:ff:ff
1668654019.066230000	2462	-79	7e:75:16:1c:02:2f	ff:ff:ff:ff:ff:ff	3813		ff:ff:ff:ff:ff:ff
1668654024.018253000	2412	-90	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	1994		ff:ff:ff:ff:ff:ff
1668654024.020472000	2412	-92	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	1995		ff:ff:ff:ff:ff:ff
1668654024.278277000	2437	-86	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2005		ff:ff:ff:ff:ff:ff
