1668970829.773904000	2462	-93	80:8a:bd:24:33:9b	ff:ff:ff:ff:ff:ff	2873		ff:ff:ff:ff:ff:ff
1668970829.830557000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	234		ff:ff:ff:ff:ff:ff
1668970829.835128000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	235		ff:ff:ff:ff:ff:ff
1668970829.894674000	2412	-90	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	236		ff:ff:ff:ff:ff:ff
1668970829.896846000	2412	-88	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	237		ff:ff:ff:ff:ff:ff
1668970830.773280000	2412	-92	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3740		ff:ff:ff:ff:ff:ff
1668970830.776033000	2412	-92	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3741		ff:ff:ff:ff:ff:ff
1668970830.778302000	2412	-91	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3742		ff:ff:ff:ff:ff:ff
1668970831.099431000	2437	-89	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3755		ff:ff:ff:ff:ff:ff
1668970831.105476000	2437	-87	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3757		ff:ff:ff:ff:ff:ff
1668970831.418911000	2462	-90	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3770		ff:ff:ff:ff:ff:ff
1668970831.421135000	2462	-88	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	3771		ff:ff:ff:ff:ff:ff
1668970832.591957000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:b1:6e:f9	24		ff:ff:ff:ff:ff:ff
1668970833.467644000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	57		ff:ff:ff:ff:ff:ff
1668970834.159839000	2437	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1668970834.375569000	2462	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	19		ff:ff:ff:ff:ff:ff
1668970834.492172000	2437	-89	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	3545		ff:ff:ff:ff:ff:ff
1668970834.638771000	2437	-96	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	31		ff:ff:ff:ff:ff:ff
1668970835.251716000	2437	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	52		ff:ff:ff:ff:ff:ff
1668970835.272544000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	53		ff:ff:ff:ff:ff:ff
1668970840.838565000	2437	-91	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	3627		ff:ff:ff:ff:ff:ff
1668970843.758000000	2437	-93	80:8a:bd:24:06:8a	ff:ff:ff:ff:ff:ff	361		ff:ff:ff:ff:ff:ff
1668970845.085564000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	250		ff:ff:ff:ff:ff:ff
1668970845.085584000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	250		ff:ff:ff:ff:ff:ff
1668970845.085599000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	250		ff:ff:ff:ff:ff:ff
1668970845.087945000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	251		ff:ff:ff:ff:ff:ff
1668970845.087964000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	251		ff:ff:ff:ff:ff:ff
1668970845.087980000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	251		ff:ff:ff:ff:ff:ff
1668970845.128634000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	252		ff:ff:ff:ff:ff:ff
1668970845.128654000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	252		ff:ff:ff:ff:ff:ff
1668970845.130784000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	253		ff:ff:ff:ff:ff:ff
1668970845.130804000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	253		ff:ff:ff:ff:ff:ff
