1668974417.561597000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1219		ff:ff:ff:ff:ff:ff
1668974417.561616000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1219		ff:ff:ff:ff:ff:ff
1668974417.603446000	2437	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1220		ff:ff:ff:ff:ff:ff
1668974417.603465000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1220		ff:ff:ff:ff:ff:ff
1668974417.605648000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1221		ff:ff:ff:ff:ff:ff
1668974417.605668000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1221		ff:ff:ff:ff:ff:ff
1668974417.647479000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1222		ff:ff:ff:ff:ff:ff
1668974417.647499000	2437	-85	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1222		ff:ff:ff:ff:ff:ff
1668974417.647513000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1222		ff:ff:ff:ff:ff:ff
1668974417.649620000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1223		ff:ff:ff:ff:ff:ff
1668974417.662123000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1224		ff:ff:ff:ff:ff:ff
1668974417.662142000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1224		ff:ff:ff:ff:ff:ff
1668974417.664249000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1225		ff:ff:ff:ff:ff:ff
1668974417.664269000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1225		ff:ff:ff:ff:ff:ff
1668974417.676825000	2412	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1226		ff:ff:ff:ff:ff:ff
1668974417.676845000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1226		ff:ff:ff:ff:ff:ff
1668974417.676860000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1226		ff:ff:ff:ff:ff:ff
1668974417.678875000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1227		ff:ff:ff:ff:ff:ff
1668974417.678894000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1227		ff:ff:ff:ff:ff:ff
1668974417.720822000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1228		ff:ff:ff:ff:ff:ff
1668974417.720842000	2462	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1228		ff:ff:ff:ff:ff:ff
1668974417.722969000	2412	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1229		ff:ff:ff:ff:ff:ff
1668974417.784916000	2412	-83	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1230		ff:ff:ff:ff:ff:ff
1668974417.828911000	2437	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1232		ff:ff:ff:ff:ff:ff
1668974417.831033000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1233		ff:ff:ff:ff:ff:ff
1668974417.891568000	2412	-78	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3133		ff:ff:ff:ff:ff:ff
1668974417.893099000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1234		ff:ff:ff:ff:ff:ff
1668974417.893118000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1234		ff:ff:ff:ff:ff:ff
1668974417.893720000	2412	-78	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3134		ff:ff:ff:ff:ff:ff
1668974417.895270000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1235		ff:ff:ff:ff:ff:ff
1668974417.907721000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1236		ff:ff:ff:ff:ff:ff
1668974417.910146000	2437	-72	b2:87:66:09:b6:d5	ff:ff:ff:ff:77:fb	1237		b9:fd:ff:ff:ff:ff
1668974417.910166000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1237		ff:ff:ff:ff:ff:ff
1668974417.951824000	2462	-82	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1238		ff:ff:ff:ff:ff:ff
1668974417.954308000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1239		ff:ff:ff:ff:ff:ff
1668974418.046948000	2437	-73	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3135		ff:ff:ff:ff:ff:ff
1668974418.049347000	2437	-73	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3136		ff:ff:ff:ff:ff:ff
1668974418.193626000	2462	-77	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3137		ff:ff:ff:ff:ff:ff
1668974418.195797000	2462	-77	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3138		ff:ff:ff:ff:ff:ff
1668974418.611120000	2437	-87	04:f0:21:3f:23:95	ff:ff:ff:ff:ff:ff	1513	CSS-ICVS	ff:ff:ff:ff:ff:ff
1668974418.681845000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13		ff:ff:ff:ff:ff:ff
1668974418.702669000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1668974420.967952000	2437	-92	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	2588		ff:ff:ff:ff:ff:ff
1668974421.341204000	2462	-91	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	2595		ff:ff:ff:ff:ff:ff
1668974422.336305000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	57		ff:ff:ff:ff:ff:ff
1668974423.001113000	2437	-85	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13		ff:ff:ff:ff:ff:ff
1668974423.021958000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1668974423.411826000	2462	-91	04:f0:21:3f:23:95	ff:ff:ff:ff:ff:ff	1539		ff:ff:ff:ff:ff:ff
1668974424.218210000	2437	-92	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	2628		bb:fd:ff:ff:ff:ff
1668974425.923325000	2462	-90	80:8a:bd:24:33:9b	ff:ff:ff:ff:ff:ff	1037		ff:ff:ff:ff:ff:ff
1668974425.925527000	2462	-93	80:8a:bd:24:33:9b	ff:ff:ff:ff:ff:ff	1038		ff:ff:ff:ff:ff:ff
1668974426.911224000	2412	-90	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1906		ff:ff:ff:ff:ff:ff
1668974426.913408000	2412	-91	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1907		ff:ff:ff:ff:ff:ff
1668974426.915636000	2412	-88	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1908		ff:ff:ff:ff:ff:ff
1668974426.974626000	2412	-89	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1909		ff:ff:ff:ff:ff:ff
1668974427.234573000	2437	-86	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1921		ff:ff:ff:ff:ff:ff
1668974427.236814000	2437	-90	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1922		ff:ff:ff:ff:ff:ff
1668974427.239015000	2437	-84	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1923		ff:ff:ff:ff:ff:ff
1668974427.298162000	2437	-84	33:5b:bd:24:33:9a	ff:ff:bf:31:1b:d6	1924	S<���$Hl2\f0`-n��	eb:c0:f6:ff:ff:ff
1668974427.553703000	2462	-89	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1936		ff:ff:ff:ff:ff:ff
1668974427.555868000	2462	-91	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1937		ff:ff:ff:ff:ff:ff
1668974427.559345000	2462	-89	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	1938		ff:ff:ff:ff:ff:ff
1668974427.602529000	2437	-86	04:f0:21:3f:23:95	ff:ff:ff:ff:ff:ff	1555	CSS-ICVS	ff:ff:ff:ff:ff:ff
1668974429.166023000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1254		ff:ff:ff:ff:ff:ff
1668974429.166043000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1254		ff:ff:ff:ff:ff:ff
1668974429.166058000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1254		ff:ff:ff:ff:ff:ff
1668974429.168646000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1255		ff:ff:ff:ff:ff:ff
1668974429.168666000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1255		ff:ff:ff:ff:ff:ff
1668974429.168681000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1255		ff:ff:ff:ff:ff:ff
1668974429.209543000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1256		ff:ff:ff:ff:ff:ff
1668974429.209562000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1256		ff:ff:ff:ff:ff:ff
1668974429.211870000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1257		ff:ff:ff:ff:ff:ff
1668974429.211890000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1257		ff:ff:ff:ff:ff:ff
1668974429.211906000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1257		ff:ff:ff:ff:ff:ff
1668974429.253538000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1258		ff:ff:ff:ff:ff:ff
1668974429.255640000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1259		ff:ff:ff:ff:ff:ff
1668974429.297610000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1260		ff:ff:ff:ff:ff:ff
1668974429.297630000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1260		ff:ff:ff:ff:ff:ff
1668974429.299762000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1261		ff:ff:ff:ff:ff:ff
1668974429.341896000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1262		ff:ff:ff:ff:ff:ff
1668974429.341915000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1262		ff:ff:ff:ff:ff:ff
1668974429.341930000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1262		ff:ff:ff:ff:ff:ff
1668974429.343968000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1263		ff:ff:ff:ff:ff:ff
1668974429.343988000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1263		ff:ff:ff:ff:ff:ff
