1668682818.655176000	2462	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	24		ff:ff:ff:ff:ff:ff
1668682820.909780000	2462	-87	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	2		ff:ff:ff:ff:ff:ff
1668682828.540759000	2412	-33	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	783	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682828.542180000	2412	-32	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	784	5099251212	ff:ff:ff:ff:ff:ff
1668682828.543665000	2412	-31	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	785		ff:ff:ff:ff:ff:ff
1668682828.580208000	2412	-33	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	786	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682828.581607000	2412	-32	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	787	5099251212	ff:ff:ff:ff:ff:ff
1668682828.581626000	2437	-72	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	787	5099251212	ff:ff:ff:ff:ff:ff
1668682828.583136000	2412	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	788		ff:ff:ff:ff:ff:ff
1668682828.625413000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	791		ff:ff:ff:ff:ff:ff
1668682828.662733000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	792	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682828.664129000	2412	-33	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	793	5099251212	ff:ff:ff:ff:ff:ff
1668682828.665953000	2412	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	794		ff:ff:ff:ff:ff:ff
1668682828.705187000	2412	-45	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	796	5099251212	ff:ff:ff:ff:ff:ff
1668682828.829033000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	806		ff:ff:ff:ff:ff:ff
1668682828.866862000	2437	-17	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	807	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682828.868262000	2437	-17	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	808	5099251212	ff:ff:ff:ff:ff:ff
1668682828.870158000	2437	-19	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	809		ff:ff:ff:ff:ff:ff
1668682828.906433000	2437	-18	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	810	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682828.907833000	2437	-18	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	811	5099251212	ff:ff:ff:ff:ff:ff
1668682828.909306000	2437	-18	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	812		ff:ff:ff:ff:ff:ff
1668682828.948132000	2437	-17	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	813	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682828.949533000	2437	-17	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	814	5099251212	ff:ff:ff:ff:ff:ff
1668682828.951412000	2437	-17	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	815		ff:ff:ff:ff:ff:ff
1668682828.988956000	2437	-18	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	816	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682828.990357000	2437	-18	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	817	5099251212	ff:ff:ff:ff:ff:ff
1668682828.992310000	2437	-18	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	818		ff:ff:ff:ff:ff:ff
1668682829.030734000	2437	-22	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	819	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682829.032133000	2437	-21	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	820	5099251212	ff:ff:ff:ff:ff:ff
1668682829.034033000	2437	-21	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	821		ff:ff:ff:ff:ff:ff
1668682829.070662000	2437	-22	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	822	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682829.072088000	2437	-22	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	823	5099251212	ff:ff:ff:ff:ff:ff
1668682829.073732000	2437	-23	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	824		ff:ff:ff:ff:ff:ff
1668682829.136272000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1856		ff:ff:ff:ff:ff:ff
1668682829.136292000	2437	-48	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1856		ff:ff:ff:ff:ff:ff
1668682829.136307000	2462	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1856		ff:ff:ff:ff:ff:ff
1668682829.138714000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1857		ff:ff:ff:ff:ff:ff
1668682829.138734000	2437	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1857		ff:ff:ff:ff:ff:ff
1668682829.179815000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1858		ff:ff:ff:ff:ff:ff
1668682829.179834000	2437	-43	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1858		ff:ff:ff:ff:ff:ff
1668682829.182016000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1859		ff:ff:ff:ff:ff:ff
1668682829.182036000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1859		ff:ff:ff:ff:ff:ff
1668682829.194491000	2412	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1860		ff:ff:ff:ff:ff:ff
1668682829.194511000	2437	-81	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1860		ff:ff:ff:ff:ff:ff
1668682829.194526000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1860		ff:ff:ff:ff:ff:ff
1668682829.196566000	2437	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1861		ff:ff:ff:ff:ff:ff
1668682829.199737000	2462	-45	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	832	5099251212	ff:ff:ff:ff:ff:ff
1668682829.201082000	2462	-42	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	833		ff:ff:ff:ff:ff:ff
1668682829.236865000	2462	-44	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	835	5099251212	ff:ff:ff:ff:ff:ff
1668682829.238664000	2462	-40	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	836		ff:ff:ff:ff:ff:ff
1668682829.258565000	2412	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1862		ff:ff:ff:ff:ff:ff
1668682829.258585000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1862		ff:ff:ff:ff:ff:ff
1668682829.260737000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1863		ff:ff:ff:ff:ff:ff
1668682829.273269000	2412	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1864		ff:ff:ff:ff:ff:ff
1668682829.273289000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1864		ff:ff:ff:ff:ff:ff
1668682829.273305000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1864		ff:ff:ff:ff:ff:ff
1668682829.275415000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1865		ff:ff:ff:ff:ff:ff
1668682829.278411000	2437	-66	fe:59:4b:0d:b0:20	9e:db:6d:63:32:ce	833		7f:b7:ff:7f:26:5d
1668682829.279838000	2462	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	838	5099251212	ff:ff:ff:ff:ff:ff
1668682829.281514000	2462	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	839		ff:ff:ff:ff:ff:ff
1668682829.319686000	2462	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	840	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682829.321460000	2437	-61	e8:50:8b:43:b1:20	ff:af:b4:fc:ff:ff	841	50992�5212	ff:ff:ff:ff:ff:ff
1668682829.321480000	2462	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	841	5099251212	ff:ff:ff:ff:ff:ff
1668682829.322813000	2462	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	842		ff:ff:ff:ff:ff:ff
1668682829.337469000	2412	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1866		ff:ff:ff:ff:ff:ff
1668682829.337489000	2437	-17	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1866		ff:ff:ff:ff:ff:ff
1668682829.337505000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1866		ff:ff:ff:ff:ff:ff
1668682829.339717000	2437	-17	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1867		ff:ff:ff:ff:ff:ff
1668682829.339736000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1867		ff:ff:ff:ff:ff:ff
1668682829.361211000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1868		ff:ff:ff:ff:ff:ff
1668682829.361231000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1868		ff:ff:ff:ff:ff:ff
1668682829.363316000	2462	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	843	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682829.365090000	2462	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	844	5099251212	ff:ff:ff:ff:ff:ff
1668682829.366568000	2437	-72	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	845		ff:ff:ff:ff:ff:ff
