1668693623.463195000	2437	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1518		ff:ff:ff:ff:ff:ff
1668693623.463211000	2462	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1518		ff:ff:ff:ff:ff:ff
1668693623.465513000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1519		ff:ff:ff:ff:ff:ff
1668693628.960960000	2462	-71	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	3948	UWS	ff:ff:ff:ff:ff:ff
1668693628.979862000	2462	-71	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	3949	UWS	ff:ff:ff:ff:ff:ff
1668693629.132898000	2412	-27	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1532		ff:ff:ff:ff:ff:ff
1668693629.132918000	2437	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1532		ff:ff:ff:ff:ff:ff
1668693629.132933000	2462	-75	b2:87:66:09:27:91	ff:ff:dd:fe:ff:ff	1532		ff:ff:ff:ff:ff:ff
1668693629.135044000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1533		ff:ff:ff:ff:ff:ff
1668693629.135064000	2437	-48	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1533		ff:ff:ff:ff:ff:ff
1668693629.135080000	2462	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1533		ff:ff:ff:ff:ff:ff
1668693629.176488000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1534		ff:ff:ff:ff:ff:ff
1668693629.176508000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1534		ff:ff:ff:ff:ff:ff
1668693629.178613000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1535		ff:ff:ff:ff:ff:ff
1668693629.191092000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1536		ff:ff:ff:ff:ff:ff
1668693629.193161000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1537		ff:ff:ff:ff:ff:ff
1668693629.205694000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1538		ff:ff:ff:ff:ff:ff
1668693629.207794000	2412	-48	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1539		ff:ff:ff:ff:ff:ff
1668693629.207814000	2437	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1539		ff:ff:ff:ff:ff:ff
1668693629.207830000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1539		ff:ff:ff:ff:ff:ff
1668693629.220370000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1540		ff:ff:ff:ff:ff:ff
1668693629.220390000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1540		ff:ff:ff:ff:ff:ff
1668693629.220405000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1540		ff:ff:ff:ff:ff:ff
1668693629.222543000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1541		ff:ff:ff:ff:ff:ff
1668693629.222563000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1541		ff:ff:ff:ff:ff:ff
1668693629.222578000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1541		ff:ff:ff:ff:ff:ff
1668693629.264369000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1542		ff:ff:ff:ff:ff:ff
1668693629.264389000	2437	-71	23:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1543	!	ff:ff:ff:ff:ff:df
1668693629.264405000	2462	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1542		ff:ff:ff:ff:ff:ff
1668693629.266573000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1543		ff:ff:ff:ff:ff:ff
1668693629.266593000	2437	-17	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1543		ff:ff:ff:ff:ff:ff
1668693629.266609000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1543		ff:ff:ff:ff:ff:ff
1668693629.308391000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1544		ff:ff:ff:ff:ff:ff
1668693629.308411000	2437	-18	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1544		ff:ff:ff:ff:ff:ff
1668693629.310468000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1545		ff:ff:ff:ff:ff:ff
1668693629.310488000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1545		ff:ff:ff:ff:ff:ff
1668693629.310504000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1545		ff:ff:ff:ff:ff:ff
1668693629.352349000	2462	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1546		ff:ff:ff:ff:ff:ff
1668693629.352370000	2412	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1546		ff:ff:ff:ff:ff:ff
