1668855627.395700000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2790		ff:ff:ff:ff:ff:ff
1668855627.397846000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2791		ff:ff:ff:ff:ff:ff
1668855627.419546000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2792		ff:ff:ff:ff:ff:ff
1668855627.419565000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2792		ff:ff:ff:ff:ff:ff
1668855627.421699000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2793		ff:ff:ff:ff:ff:ff
1668855627.421718000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2793		ff:ff:ff:ff:ff:ff
1668855627.434354000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2794		ff:ff:ff:ff:ff:ff
1668855627.434384000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2794		ff:ff:ff:ff:ff:ff
1668855627.436525000	2437	-72	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2795		ff:ff:ff:ff:ff:ff
1668855627.436544000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2795		ff:ff:ff:ff:ff:ff
1668855627.480771000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2797		ff:ff:ff:ff:ff:ff
1668855627.544643000	2412	-86	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2799		ff:ff:ff:ff:ff:ff
1668855628.988426000	2462	-92	80:8a:bd:24:33:9b	ff:ff:ff:ff:ff:ff	41		ff:ff:ff:ff:ff:ff
1668855628.993102000	2462	-91	80:8a:bd:24:33:9b	ff:ff:ff:ff:ff:ff	43		ff:ff:ff:ff:ff:ff
1668855629.264729000	2437	-90	70:b3:17:a0:51:63	ff:ff:ff:ff:ff:ff	2400		70:b3:17:a0:51:63
1668855630.354708000	2412	-92	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	910		ff:ff:ff:ff:ff:ff
1668855630.356926000	2412	-91	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	911		ff:ff:ff:ff:ff:ff
1668855630.359154000	2412	-92	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	912		ff:ff:ff:ff:ff:ff
1668855630.557776000	2437	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1668855630.678484000	2437	-86	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	925		ff:ff:ff:ff:ff:ff
1668855630.680836000	2437	-85	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	926		ff:ff:ff:ff:ff:ff
1668855630.683155000	2437	-87	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	927		ff:ff:ff:ff:ff:ff
1668855630.996336000	2462	-90	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	940		ff:ff:ff:ff:ff:ff
1668855630.998559000	2462	-87	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	941		ff:ff:ff:ff:ff:ff
1668855631.000786000	2462	-88	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	942		ff:ff:ff:ff:ff:ff
1668855631.064636000	2462	-88	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	945		ff:ff:ff:ff:ff:ff
1668855632.785764000	2437	-95	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	94		ff:ff:ff:ff:ff:ff
1668855634.184642000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2858	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668855634.186063000	2412	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2859	5099251212	ff:ff:ff:ff:ff:ff
1668855634.187380000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2860		ff:ff:ff:ff:ff:ff
1668855634.225470000	2412	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2861	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668855634.227368000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2862	5099251212	ff:ff:ff:ff:ff:ff
1668855634.228687000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2863		ff:ff:ff:ff:ff:ff
1668855634.270142000	2412	-38	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2866		ff:ff:ff:ff:ff:ff
1668855634.308376000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2868	5099251212	ff:ff:ff:ff:ff:ff
1668855634.309716000	2412	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2869		ff:ff:ff:ff:ff:ff
1668855634.348497000	2412	-48	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2870	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668855634.389094000	2412	-48	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2873	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668855634.431497000	2437	-33	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2877	5099251212	ff:ff:ff:ff:ff:ff
1668855634.433771000	2437	-32	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2878		ff:ff:ff:ff:ff:ff
1668855634.472022000	2437	-32	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2880	5099251212	ff:ff:ff:ff:ff:ff
1668855634.511196000	2437	-23	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2882	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668855634.512595000	2412	-65	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2883	5��=D4121r	ff:ff:ff:ff:ff:ff
