1668920429.160233000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3939		ff:ff:ff:ff:ff:ff
1668920429.160248000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3939		ff:ff:ff:ff:ff:ff
1668920429.221782000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3940		ff:ff:ff:ff:ff:ff
1668920429.221802000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3940		ff:ff:ff:ff:ff:ff
1668920429.223886000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3941		ff:ff:ff:ff:ff:ff
1668920429.223906000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3941		ff:ff:ff:ff:ff:ff
1668920429.265857000	2437	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3942		ff:ff:ff:ff:ff:ff
1668920429.265877000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3942		ff:ff:ff:ff:ff:ff
1668920429.267981000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3943		ff:ff:ff:ff:ff:ff
1668920429.268001000	2412	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3943		ff:ff:ff:ff:ff:ff
1668920429.309807000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3944		ff:ff:ff:ff:ff:ff
1668920429.309827000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3944		ff:ff:ff:ff:ff:ff
1668920429.311919000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3945		ff:ff:ff:ff:ff:ff
1668920429.311939000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3945		ff:ff:ff:ff:ff:ff
1668920429.311954000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3945		ff:ff:ff:ff:ff:ff
1668920429.353793000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3946		ff:ff:ff:ff:ff:ff
1668920429.353813000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3946		ff:ff:ff:ff:ff:ff
1668920429.353828000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3946		ff:ff:ff:ff:ff:ff
1668920429.355909000	2437	-33	b2:87:66:09:27:51	ff:7f:b7:ff:77:fb	3947		d7:75:bb:bb:ef:d8
1668920429.355929000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3947		ff:ff:ff:ff:ff:ff
1668920429.397819000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3948		ff:ff:ff:ff:ff:ff
1668920429.397839000	2437	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3948		ff:ff:ff:ff:ff:ff
1668920429.397855000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3948		ff:ff:ff:ff:ff:ff
1668920429.399892000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3949		ff:ff:ff:ff:ff:ff
1668920429.399911000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3693		f7:b3:ff:ff:ff:ff
1668920429.399927000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3949		ff:ff:ff:ff:ff:ff
1668920429.441811000	2412	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3950		ff:ff:ff:ff:ff:ff
1668920429.441832000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3950		ff:ff:ff:ff:ff:ff
1668920429.443883000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3951		ff:ff:ff:ff:ff:ff
1668920429.506034000	2412	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3952		ff:ff:ff:ff:ff:ff
1668920429.506054000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3952		ff:ff:ff:ff:ff:ff
1668920429.549979000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3954		ff:ff:ff:ff:ff:ff
1668920429.552115000	2437	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3955		ff:ff:ff:ff:ff:ff
1668920429.552134000	2462	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3955		ff:ff:ff:ff:ff:ff
1668920429.593959000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3956		ff:ff:ff:ff:ff:ff
1668920429.593978000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3956		ff:ff:ff:ff:ff:ff
1668920429.596106000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3957		ff:ff:ff:ff:ff:ff
1668920429.637962000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3958		ff:ff:ff:ff:ff:ff
1668920429.637981000	2462	-27	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3958		ff:ff:ff:ff:ff:ff
1668920429.640069000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3959		ff:ff:ff:ff:ff:ff
1668920429.640088000	2412	-81	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3959		ff:ff:ff:ff:ff:ff
1668920429.640103000	2437	-72	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3959		ff:ff:ff:ff:ff:ff
1668920429.667567000	2437	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	26		ff:ff:ff:ff:ff:ff
1668920429.682334000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3960		ff:ff:ff:ff:ff:ff
