1668898813.852297000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	932		ff:ff:ff:ff:ff:ff
1668898813.854543000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	933		ff:ff:ff:ff:ff:ff
1668898813.854562000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	933		ff:ff:ff:ff:ff:ff
1668898814.045369000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	938		ff:ff:ff:ff:ff:ff
1668898814.047274000	2462	-35	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	939		ff:ff:ff:ff:ff:ff
1668898814.109672000	2462	-33	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	940		ff:ff:ff:ff:ff:ff
1668898814.111867000	2462	-32	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	941		ff:ff:ff:ff:ff:ff
1668898814.193189000	2437	-82	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	2960		ff:ff:ff:ff:ff:ff
1668898814.254876000	2437	-84	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	2961		ff:ff:ff:ff:ff:ff
1668898818.495630000	2437	-86	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	3001		ff:ff:ff:ff:ff:ff
1668898818.557378000	2437	-86	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	3002		ff:ff:ff:ff:ff:ff
1668898818.850334000	2462	-92	14:76:01:bd:76:49	ed:67:c3:25:e6:02	2751		f3:bc:1b:b3:fd:f6
1668898823.170751000	2437	-82	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	3043		ff:ff:ff:ff:ff:ff
1668898823.232552000	2437	-85	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	3044		ff:ff:ff:ff:ff:ff
1668898823.454437000	2462	-90	06:d6:9f:75:59:11	1a:5a:58:d0:59:49	1997		75:23:32:5d:3d:6c
1668898826.274552000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	870		ff:ff:ff:ff:ff:ff
1668898826.274572000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	870		ff:ff:ff:ff:ff:ff
1668898826.274587000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	870		ff:ff:ff:ff:ff:ff
1668898826.276618000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	871		ff:ff:ff:ff:ff:ff
1668898826.276638000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	871		ff:ff:ff:ff:ff:ff
1668898826.276654000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	871		ff:ff:ff:ff:ff:ff
1668898826.318566000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	872		ff:ff:ff:ff:ff:ff
1668898826.318586000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	872		ff:ff:ff:ff:ff:ff
1668898826.320848000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	873		ff:ff:ff:ff:ff:ff
1668898826.320867000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	873		ff:ff:ff:ff:ff:ff
1668898826.320883000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	873		ff:ff:ff:ff:ff:ff
1668898826.362340000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	874		ff:ff:ff:ff:ff:ff
1668898826.364413000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	875		ff:ff:ff:ff:ff:ff
