1668852024.708804000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1436		ff:ff:ff:ff:ff:ff
1668852024.710844000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1437		ff:ff:ff:ff:ff:ff
1668852024.710863000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1437		ff:ff:ff:ff:ff:ff
1668852024.710879000	2412	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1437		ff:ff:ff:ff:ff:ff
1668852024.723411000	2412	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1438		ff:ff:ff:ff:ff:ff
1668852024.723430000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1438		ff:ff:ff:ff:ff:ff
1668852024.726184000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1439		ff:ff:ff:ff:ff:ff
1668852024.726204000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1439		ff:ff:ff:ff:ff:ff
1668852024.767444000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1440		ff:ff:ff:ff:ff:ff
1668852024.767464000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1440		ff:ff:ff:ff:ff:ff
1668852024.767479000	2462	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1440		ff:ff:ff:ff:ff:ff
1668852024.770759000	2437	-89	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668852024.772982000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1441		ff:ff:ff:ff:ff:ff
1668852024.773002000	2462	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1441		ff:ff:ff:ff:ff:ff
1668852024.831920000	2412	-82	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1442		ff:ff:ff:ff:ff:ff
1668852024.831940000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1442		ff:ff:ff:ff:ff:ff
1668852024.831955000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1442		ff:ff:ff:ff:ff:ff
1668852024.875860000	2437	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1444		ff:ff:ff:ff:ff:ff
1668852024.877983000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1445		ff:ff:ff:ff:ff:ff
1668852024.919861000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1446		ff:ff:ff:ff:ff:ff
1668852024.919880000	2462	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1446		ff:ff:ff:ff:ff:ff
1668852024.922037000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1447		ff:ff:ff:ff:ff:ff
1668852024.922056000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1447		ff:ff:ff:ff:ff:ff
1668852024.963868000	2462	-27	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1448		ff:ff:ff:ff:ff:ff
1668852024.963888000	2437	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1448		ff:ff:ff:ff:ff:ff
1668852024.966037000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1449		ff:ff:ff:ff:ff:ff
1668852024.966057000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1449		ff:ff:ff:ff:ff:ff
1668852025.030332000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1450		ff:ff:ff:ff:ff:ff
1668852025.032487000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1451		ff:ff:ff:ff:ff:ff
1668852025.948334000	2412	-55	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2160		ff:ff:ff:ff:ff:ff
1668852025.950560000	2412	-55	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2161		ff:ff:ff:ff:ff:ff
1668852026.032434000	2412	-58	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2162		ff:ff:ff:ff:ff:ff
1668852026.034322000	2412	-58	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2163		ff:ff:ff:ff:ff:ff
1668852026.161110000	2462	-82	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2166		ff:ff:ff:ff:ff:ff
1668852026.225610000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2168		ff:ff:ff:ff:ff:ff
1668852026.225630000	2437	-28	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2168		ff:ff:ff:ff:ff:ff
1668852026.227789000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2169		ff:ff:ff:ff:ff:ff
1668852026.227809000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2169		ff:ff:ff:ff:ff:ff
1668852026.289836000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2170		ff:ff:ff:ff:ff:ff
1668852026.289856000	2437	-28	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2170		ff:ff:ff:ff:ff:ff
1668852026.291987000	2437	-28	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2171		ff:ff:ff:ff:ff:ff
1668852026.292007000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2171		ff:ff:ff:ff:ff:ff
